TransactionID,OrderDate,DeliveryDate,CustomerName,ProductID,Category,Region,Quantity,UnitPrice,DiscountPct,TaxRate,PaymentMethod,OrderStatus,ShippingCity,ShippingCost,IsReturned,ReturnReason,FeedbackScore,LoyaltyPoints,PromoCode,SourceChannel,DeviceType,SessionDurationMin,WarehouseID,SalesRep,TotalAmount
7,2025-11-02 01:35:44,2025-11-08 14:35:22,Francis,475,Electronics,Mindanao,17,390.04,0.28,0.12,Credit Card,Completed,Cebu,17.22,No,Defective,2,459,FLASH50,Paid Search,Mobile,15.0,WH-02,Team A,5346.98
9,2025-11-23 20:14:19,2025-12-17 16:16:03,Mark,381,Sports,Visayas,19,483.29,0.26,0.12,Bank Transfer,Completed,Cebu,49.99,No,Changed Mind,2,456,NONE,Organic,Tablet,25.8,WH-01,Team C,7610.46
31,2025-11-24 04:13:01,2025-02-16 12:08:22,Francis,516,Beauty,Visayas,10,153.98,0.25,0.12,Bank Transfer,Completed,Quezon City,16.95,No,,5,45,SUMMER20,Social Media,Desktop,38.6,WH-02,Team A,1293.43
38,2025-11-30 16:52:40,2025-08-16 03:36:42,Raffy,106,Beauty,Luzon,13,241.73,0.1,0.12,Credit Card,Completed,Manila,23.35,No,Changed Mind,3,451,NONE,Paid Search,Desktop,9.1,WH-01,Team C,3167.63
41,2025-11-07 16:03:52,2025-01-30 10:46:08,Imee,121,Apparel,NCR,8,323.36,0.15,0.12,Cash,Completed,Davao,30.39,No,Changed Mind,5,179,SUMMER20,Organic,Desktop,36.7,WH-03,Team A,2462.71
49,2025-11-07 00:23:50,2025-12-06 15:17:45,Risa,970,Apparel,Visayas,14,319.05,0.26,0.12,Cash,Completed,Manila,18.2,No,Changed Mind,3,136,WELCOME10,Organic,Tablet,16.6,WH-03,Team B,3702.0
61,2025-11-07 06:42:49,2025-03-05 18:57:08,Mark,829,Beauty,Visayas,17,248.62,0.2,0.12,Cash,Cancelled,Makati,31.39,No,Changed Mind,3,217,FLASH50,Organic,Desktop,10.7,WH-02,Team B,3786.98
88,2025-11-08 09:29:30,2025-08-15 06:19:21,Francis,147,Electronics,Mindanao,6,34.07,0.18,0.12,Cash,Pending,Davao,31.62,No,Wrong Item,5,421,WELCOME10,Organic,Mobile,42.9,WH-01,Team B,187.74
95,2025-11-08 18:51:05,2025-05-25 08:09:41,Robinhood,130,Home,Luzon,6,233.17,0.23,0.12,Cash,Cancelled,Quezon City,15.63,No,Changed Mind,4,67,SUMMER20,Paid Search,Desktop,39.9,WH-01,Team C,1206.51
104,2025-11-12 22:15:05,2026-02-19 15:15:26,Pia,491,Beauty,Visayas,14,60.95,0.16,0.12,E-Wallet,Completed,Cebu,19.24,No,Changed Mind,5,393,NONE,Social Media,Tablet,19.6,WH-02,Team C,802.78
120,2025-11-26 12:03:19,2025-04-21 13:14:50,Francis,901,Home,Visayas,10,247.29,0.12,0.12,E-Wallet,Pending,Cebu,27.62,No,Changed Mind,1,344,SUMMER20,Direct,Desktop,7.9,WH-03,Team A,2437.29
125,2025-11-30 02:21:54,2025-03-31 17:31:50,Sherwin,487,Beauty,NCR,19,144.97,0.0,0.12,Credit Card,Cancelled,Manila,41.95,No,Defective,3,234,SUMMER20,Organic,Mobile,3.9,WH-03,Team A,3084.96
143,2025-11-05 21:58:52,2025-12-23 22:32:32,Robinhood,442,Electronics,Visayas,8,232.59,0.23,0.12,Credit Card,Completed,Cebu,22.28,No,,2,94,NONE,Paid Search,Mobile,6.4,WH-02,Team B,1604.68
172,2025-11-18 10:35:17,2025-01-08 18:34:40,Bong,540,Apparel,Mindanao,15,339.47,0.24,0.12,E-Wallet,Refunded,Cebu,47.54,No,Wrong Item,5,200,WELCOME10,Social Media,Tablet,26.7,WH-03,Team A,4334.35
202,2025-11-20 14:36:56,2025-05-30 10:11:02,Grace,510,Beauty,Mindanao,7,25.41,0.29,0.12,Credit Card,Completed,Manila,15.88,No,,2,34,SUMMER20,Organic,Desktop,43.4,WH-02,Team B,141.44
243,2025-11-08 14:47:06,2025-05-04 08:08:15,Imee,147,Home,Visayas,16,323.88,0.19,0.12,Cash,Completed,Quezon City,40.47,No,,5,219,WELCOME10,Social Media,Tablet,11.6,WH-02,Team C,4701.18
