TransactionID,OrderDate,DeliveryDate,CustomerName,ProductID,Category,Region,Quantity,UnitPrice,DiscountPct,TaxRate,PaymentMethod,OrderStatus,ShippingCity,ShippingCost,IsReturned,ReturnReason,FeedbackScore,LoyaltyPoints,PromoCode,SourceChannel,DeviceType,SessionDurationMin,WarehouseID,SalesRep,TotalAmount
11,2025-05-14 04:55:03,2025-08-03 10:26:23,Sherwin,438,Apparel,Mindanao,2,263.19,0.0,0.12,E-Wallet,Completed,Davao,22.2,No,Wrong Item,2,144,WELCOME10,Paid Search,Tablet,26.5,WH-02,Team C,589.55
45,2025-05-05 19:35:14,2025-01-31 20:09:52,Sherwin,676,Beauty,Luzon,10,369.87,0.06,0.12,Bank Transfer,Completed,Davao,30.83,No,Wrong Item,1,306,WELCOME10,Direct,Tablet,33.1,WH-02,Team C,3893.99
54,2025-05-27 22:47:25,2025-05-30 12:27:01,Imee,410,Beauty,Mindanao,15,330.05,0.27,0.12,Bank Transfer,Completed,Manila,44.5,No,Defective,5,57,SUMMER20,Direct,Mobile,18.9,WH-03,Team C,4047.73
55,2025-05-22 09:48:20,2025-06-04 01:15:34,Sherwin,928,Sports,Mindanao,12,443.58,0.07,0.12,Cash,Completed,Manila,28.78,No,Changed Mind,5,461,WELCOME10,Social Media,Tablet,42.6,WH-02,Team B,5544.4
75,2025-05-18 05:48:31,2025-01-30 13:34:46,Raffy,572,Beauty,Mindanao,13,199.81,0.19,0.12,E-Wallet,Refunded,Davao,19.76,No,Changed Mind,2,175,SUMMER20,Paid Search,Desktop,26.2,WH-01,Team A,2356.48
127,2025-05-24 02:34:29,2026-02-23 20:41:12,Grace,514,Apparel,Mindanao,14,87.67,0.26,0.12,Cash,Completed,Makati,17.48,No,Wrong Item,2,20,WELCOME10,Organic,Mobile,1.2,WH-02,Team B,1017.25
131,2025-05-19 07:59:06,2025-05-29 09:43:21,Risa,875,Electronics,Luzon,4,401.48,0.08,0.12,Bank Transfer,Completed,Manila,18.95,No,Wrong Item,1,347,NONE,Social Media,Tablet,10.5,WH-01,Team B,1654.74
136,2025-05-23 03:45:52,2025-01-28 06:38:37,Robinhood,723,Home,Mindanao,10,149.0,0.04,0.12,E-Wallet,Completed,Quezon City,35.32,No,,3,431,NONE,Direct,Mobile,17.5,WH-01,Team C,1602.05
142,2025-05-08 20:19:22,2025-01-11 20:57:38,Sherwin,904,Electronics,NCR,10,363.48,0.15,0.12,E-Wallet,Completed,Quezon City,27.27,No,,2,327,FLASH50,Direct,Mobile,18.1,WH-03,Team A,3460.33
153,2025-05-18 12:45:45,2025-12-06 10:14:32,Jinggoy,499,Beauty,Mindanao,8,202.01,0.08,0.12,E-Wallet,Refunded,Cebu,28.15,No,Changed Mind,5,431,SUMMER20,Direct,Tablet,24.8,WH-02,Team B,1665.21
155,2025-05-20 04:35:14,2025-03-24 04:38:03,Mark,781,Electronics,Visayas,7,473.96,0.29,0.12,Bank Transfer,Completed,Manila,39.19,No,Changed Mind,3,16,NONE,Social Media,Mobile,23.3,WH-02,Team B,2638.25
160,2025-05-09 20:25:52,2025-08-01 06:43:25,Pia,477,Home,Mindanao,8,477.83,0.06,0.12,E-Wallet,Completed,Cebu,20.2,No,Changed Mind,5,352,FLASH50,Direct,Mobile,36.0,WH-01,Team A,4024.48
161,2025-05-29 13:34:11,2025-02-17 23:28:29,Francis,473,Sports,Luzon,17,79.91,0.21,0.12,E-Wallet,Completed,Cebu,5.36,Yes,,2,397,FLASH50,Organic,Mobile,11.5,WH-03,Team B,1201.97
168,2025-05-15 15:20:42,2025-05-26 15:45:31,Bong,438,Beauty,NCR,12,232.94,0.06,0.12,E-Wallet,Completed,Makati,49.31,No,Changed Mind,2,197,SUMMER20,Direct,Tablet,3.7,WH-03,Team C,2942.87
174,2025-05-28 00:39:28,2025-12-04 16:33:11,Robinhood,770,Apparel,Luzon,16,294.06,0.17,0.12,Cash,Completed,Manila,14.34,No,Defective,4,324,SUMMER20,Social Media,Mobile,2.9,WH-02,Team B,4373.73
182,2025-05-29 09:05:52,2025-11-18 01:04:34,Francis,713,Home,Visayas,18,355.73,0.29,0.12,Credit Card,Completed,Cebu,27.56,No,Wrong Item,5,66,FLASH50,Social Media,Desktop,19.0,WH-03,Team B,5091.78
184,2025-05-11 04:27:45,2025-08-19 14:04:38,Francis,466,Apparel,NCR,3,349.88,0.18,0.12,E-Wallet,Completed,Manila,19.17,No,Changed Mind,5,483,SUMMER20,Organic,Tablet,30.6,WH-03,Team A,963.99
192,2025-05-01 04:53:15,2025-12-30 22:33:19,Bong,563,Beauty,Luzon,6,348.99,0.03,0.12,Bank Transfer,Completed,Manila,31.63,Yes,Defective,3,430,FLASH50,Paid Search,Tablet,28.3,WH-02,Team B,2274.86
