TransactionID,OrderDate,DeliveryDate,CustomerName,ProductID,Category,Region,Quantity,UnitPrice,DiscountPct,TaxRate,PaymentMethod,OrderStatus,ShippingCity,ShippingCost,IsReturned,ReturnReason,FeedbackScore,LoyaltyPoints,PromoCode,SourceChannel,DeviceType,SessionDurationMin,WarehouseID,SalesRep,TotalAmount
16,2025-07-24 06:12:59,2025-05-08 12:15:10,Loren,939,Sports,Mindanao,2,164.25,0.3,0.12,E-Wallet,Completed,Davao,44.32,No,Wrong Item,4,255,FLASH50,Organic,Tablet,36.8,WH-03,Team B,257.54
27,2025-07-27 12:44:48,2025-12-21 14:39:44,Sherwin,832,Beauty,NCR,6,136.37,0.14,0.12,Credit Card,Completed,Cebu,26.89,No,Wrong Item,3,140,WELCOME10,Paid Search,Tablet,3.1,WH-02,Team C,788.11
43,2025-07-23 03:33:33,2025-02-12 11:10:38,Risa,190,Home,Luzon,3,382.57,0.04,0.12,Credit Card,Completed,Makati,5.7,No,,5,199,WELCOME10,Organic,Mobile,8.4,WH-03,Team B,1234.02
47,2025-07-17 13:05:07,2025-06-25 22:31:40,Jinggoy,747,Beauty,Luzon,8,246.95,0.18,0.12,Credit Card,Completed,Cebu,29.45,Yes,Wrong Item,3,335,NONE,Social Media,Tablet,18.2,WH-03,Team B,1814.39
58,2025-07-27 02:00:05,2026-01-21 15:04:12,Loren,244,Electronics,Mindanao,3,405.47,0.06,0.12,Bank Transfer,Cancelled,Davao,16.61,No,,3,237,FLASH50,Paid Search,Tablet,20.7,WH-02,Team C,1280.64
67,2025-07-25 00:46:41,2025-10-31 11:23:36,Bong,623,Apparel,Mindanao,2,497.33,0.29,0.12,Credit Card,Pending,Manila,26.67,No,Wrong Item,1,315,WELCOME10,Paid Search,Mobile,42.8,WH-01,Team B,790.95
71,2025-07-16 13:16:24,2025-07-19 22:40:36,Raffy,814,Electronics,Mindanao,8,93.54,0.15,0.12,Cash,Completed,Cebu,46.44,No,Wrong Item,5,353,FLASH50,Direct,Desktop,9.4,WH-02,Team A,712.4
96,2025-07-13 06:39:21,2025-02-20 02:15:35,Pia,876,Home,Visayas,6,266.07,0.1,0.12,Bank Transfer,Refunded,Makati,48.2,No,,3,396,WELCOME10,Social Media,Desktop,14.9,WH-01,Team C,1609.19
100,2025-07-24 20:49:41,2025-06-28 23:40:20,Pia,668,Sports,Mindanao,5,95.99,0.24,0.12,Bank Transfer,Completed,Davao,24.37,Yes,,2,124,FLASH50,Organic,Tablet,43.2,WH-03,Team B,408.53
115,2025-07-21 01:55:16,2025-07-30 21:04:34,Grace,341,Beauty,Mindanao,10,74.26,0.15,0.12,E-Wallet,Completed,Cebu,26.09,No,Wrong Item,1,305,WELCOME10,Organic,Tablet,40.3,WH-01,Team A,706.96
123,2025-07-20 16:52:20,2025-11-09 11:38:49,Imee,959,Electronics,NCR,2,321.99,0.28,0.12,Credit Card,Completed,Manila,40.24,No,Defective,3,244,SUMMER20,Direct,Desktop,42.5,WH-03,Team B,519.31
148,2025-07-29 12:39:47,2025-01-25 15:41:10,Grace,443,Sports,NCR,14,163.22,0.02,0.12,Credit Card,Completed,Davao,23.14,No,Changed Mind,3,15,FLASH50,Direct,Desktop,40.9,WH-02,Team B,2508.1
151,2025-07-14 09:16:47,2025-09-01 11:47:07,Robinhood,595,Beauty,Mindanao,3,465.09,0.27,0.12,Bank Transfer,Completed,Quezon City,44.08,No,,4,466,FLASH50,Direct,Mobile,33.0,WH-03,Team A,1140.77
154,2025-07-30 04:49:59,2025-11-24 05:31:15,Risa,559,Sports,Mindanao,7,368.49,0.13,0.12,Credit Card,Completed,Davao,45.12,No,Defective,2,460,NONE,Direct,Desktop,42.3,WH-03,Team C,2513.4
159,2025-07-06 23:35:38,2025-01-31 13:39:56,Raffy,734,Beauty,Luzon,14,266.9,0.26,0.12,Bank Transfer,Completed,Makati,26.01,No,Wrong Item,4,434,WELCOME10,Direct,Tablet,11.6,WH-02,Team A,3096.89
165,2025-07-14 08:26:34,2025-11-05 06:05:41,Raffy,565,Beauty,NCR,13,486.9,0.2,0.12,Cash,Completed,Manila,47.13,Yes,Changed Mind,2,92,WELCOME10,Paid Search,Tablet,30.3,WH-02,Team B,5671.41
173,2025-07-12 22:45:25,2026-01-18 12:42:46,Raffy,616,Apparel,Mindanao,14,428.73,0.01,0.12,Credit Card,Completed,Davao,31.44,No,Wrong Item,4,396,SUMMER20,Direct,Tablet,27.2,WH-01,Team A,6655.26
176,2025-07-31 00:22:26,2025-07-14 01:19:23,Jinggoy,424,Apparel,Mindanao,15,66.23,0.07,0.12,Cash,Refunded,Manila,31.93,Yes,Defective,1,354,WELCOME10,Paid Search,Tablet,8.3,WH-01,Team A,1034.78
189,2025-07-11 12:46:29,2025-09-13 11:51:59,Bong,238,Home,Visayas,15,374.97,0.24,0.12,Credit Card,Pending,Quezon City,10.23,No,Wrong Item,2,108,FLASH50,Paid Search,Mobile,15.6,WH-01,Team A,4787.62
190,2025-07-19 21:12:14,2026-03-10 08:50:27,Grace,177,Beauty,Luzon,12,31.56,0.03,0.12,E-Wallet,Cancelled,Manila,19.28,No,,3,447,WELCOME10,Organic,Tablet,2.4,WH-02,Team B,411.44
200,2025-07-03 08:21:00,2026-01-10 21:11:39,Jinggoy,366,Home,Luzon,19,391.05,0.17,0.12,Bank Transfer,Completed,Makati,15.28,No,,2,135,WELCOME10,Direct,Tablet,38.3,WH-03,Team A,6906.88
212,2025-07-24 20:12:29,2025-11-04 15:15:54,Raffy,955,Home,Mindanao,5,393.78,0.15,0.12,Cash,Completed,Makati,7.8,No,Changed Mind,4,57,FLASH50,Social Media,Desktop,36.3,WH-02,Team B,1874.39
215,2025-07-29 13:45:20,2025-05-20 15:41:31,Risa,881,Sports,Mindanao,5,305.6,0.27,0.12,Cash,Completed,Makati,25.15,No,,4,144,SUMMER20,Organic,Mobile,3.5,WH-03,Team A,1249.29
216,2025-07-20 13:52:41,2025-08-01 03:31:00,Sherwin,657,Beauty,NCR,19,290.8,0.04,0.12,Bank Transfer,Completed,Makati,16.5,No,Defective,4,155,FLASH50,Organic,Tablet,24.6,WH-02,Team A,5940.7
218,2025-07-04 17:00:16,2025-04-23 05:25:19,Bong,861,Apparel,NCR,1,258.15,0.05,0.12,E-Wallet,Completed,Makati,16.37,No,Changed Mind,3,407,SUMMER20,Direct,Tablet,33.9,WH-01,Team A,274.67
234,2025-07-13 01:38:35,2025-03-12 12:25:00,Grace,559,Beauty,Visayas,2,499.87,0.07,0.12,Bank Transfer,Completed,Davao,36.3,No,,2,244,NONE,Organic,Mobile,18.2,WH-01,Team A,1041.33
241,2025-07-10 03:43:34,2026-02-17 15:44:35,Loren,557,Sports,NCR,4,442.09,0.13,0.12,Bank Transfer,Completed,Cebu,28.2,No,Wrong Item,1,189,SUMMER20,Paid Search,Mobile,36.9,WH-02,Team B,1723.09
