TransactionID,OrderDate,DeliveryDate,CustomerName,ProductID,Category,Region,Quantity,UnitPrice,DiscountPct,TaxRate,PaymentMethod,OrderStatus,ShippingCity,ShippingCost,IsReturned,ReturnReason,FeedbackScore,LoyaltyPoints,PromoCode,SourceChannel,DeviceType,SessionDurationMin,WarehouseID,SalesRep,TotalAmount
3,2025-08-23 23:01:45,2026-01-17 00:08:40,Sherwin,586,Beauty,Visayas,3,459.2,0.18,0.12,Cash,Completed,Quezon City,28.26,No,,1,358,FLASH50,Paid Search,Desktop,11.6,WH-02,Team B,1265.19
17,2025-08-17 08:00:50,2025-01-11 06:55:36,Mark,279,Apparel,Mindanao,19,118.02,0.17,0.12,Cash,Refunded,Cebu,25.04,No,Wrong Item,1,43,WELCOME10,Social Media,Mobile,20.6,WH-02,Team A,2084.52
34,2025-08-02 10:03:14,2026-02-16 05:46:45,Loren,600,Electronics,Luzon,10,395.76,0.23,0.12,Bank Transfer,Completed,Manila,21.71,Yes,Wrong Item,1,386,NONE,Paid Search,Desktop,25.2,WH-01,Team A,3413.03
44,2025-08-29 20:04:17,2025-02-02 17:28:54,Pia,655,Apparel,Mindanao,14,474.89,0.14,0.12,Bank Transfer,Completed,Makati,25.26,No,,5,381,WELCOME10,Organic,Desktop,14.2,WH-01,Team A,6403.8
48,2025-08-19 21:56:51,2025-05-29 11:02:02,Robinhood,975,Electronics,Visayas,17,459.84,0.23,0.12,Credit Card,Completed,Manila,7.56,No,Defective,2,72,SUMMER20,Direct,Desktop,34.3,WH-03,Team A,6741.62
51,2025-08-18 23:38:55,2026-02-22 14:41:19,Sherwin,300,Apparel,Visayas,6,57.22,0.11,0.12,Credit Card,Cancelled,Makati,12.98,No,Wrong Item,2,298,FLASH50,Social Media,Desktop,41.6,WH-03,Team B,342.22
57,2025-08-14 05:18:19,2025-06-15 11:30:16,Mark,605,Beauty,NCR,2,452.9,0.15,0.12,Bank Transfer,Completed,Quezon City,6.67,No,Defective,5,244,SUMMER20,Social Media,Mobile,38.3,WH-01,Team B,862.32
64,2025-08-23 09:44:16,2025-05-05 08:17:16,Robinhood,198,Home,Mindanao,5,287.17,0.27,0.12,Bank Transfer,Completed,Davao,12.65,No,Wrong Item,1,19,SUMMER20,Direct,Desktop,34.4,WH-01,Team A,1173.95
91,2025-08-10 13:48:41,2026-03-02 02:23:15,Francis,162,Electronics,Mindanao,12,33.58,0.24,0.12,Bank Transfer,Completed,Quezon City,25.4,No,,4,84,FLASH50,Paid Search,Desktop,40.6,WH-03,Team B,343.0
94,2025-08-30 14:05:49,2025-01-16 12:23:29,Mark,372,Beauty,Luzon,15,128.06,0.16,0.12,Cash,Completed,Makati,14.27,No,,3,455,WELCOME10,Social Media,Desktop,8.6,WH-03,Team C,1807.18
103,2025-08-30 03:52:26,2026-01-25 17:03:54,Loren,804,Apparel,NCR,8,460.24,0.26,0.12,Bank Transfer,Completed,Manila,47.17,No,Defective,2,40,NONE,Direct,Mobile,44.5,WH-03,Team C,3051.58
113,2025-08-16 00:16:35,2025-04-09 04:40:12,Francis,554,Home,Mindanao,18,257.12,0.17,0.12,E-Wallet,Cancelled,Cebu,15.04,No,Changed Mind,2,238,NONE,Organic,Tablet,42.0,WH-02,Team B,4302.34
130,2025-08-17 15:07:15,2025-08-27 20:57:07,Raffy,990,Beauty,Mindanao,6,238.21,0.16,0.12,E-Wallet,Pending,Makati,47.13,No,Wrong Item,1,188,NONE,Direct,Mobile,6.4,WH-03,Team C,1344.65
144,2025-08-21 13:15:37,2025-04-01 13:04:58,Sherwin,315,Apparel,Visayas,8,64.99,0.09,0.12,Credit Card,Completed,Quezon City,44.82,No,Wrong Item,3,430,NONE,Paid Search,Desktop,24.5,WH-02,Team A,529.9
145,2025-08-31 20:15:41,2025-11-03 03:44:47,Pia,795,Electronics,Luzon,19,275.11,0.25,0.12,Cash,Refunded,Manila,22.73,No,Defective,1,267,SUMMER20,Organic,Mobile,43.3,WH-03,Team A,4390.76
167,2025-08-23 04:01:57,2025-02-10 06:22:59,Grace,172,Sports,Luzon,12,385.89,0.1,0.12,Bank Transfer,Refunded,Cebu,36.06,Yes,Wrong Item,2,279,NONE,Paid Search,Desktop,41.3,WH-02,Team B,4667.73
177,2025-08-12 19:39:48,2025-10-21 10:09:46,Bong,544,Electronics,Mindanao,9,34.65,0.18,0.12,E-Wallet,Completed,Manila,30.76,Yes,,4,278,WELCOME10,Direct,Mobile,28.4,WH-03,Team A,286.4
194,2025-08-30 16:01:03,2025-03-29 18:30:04,Bong,768,Apparel,NCR,2,324.9,0.18,0.12,Bank Transfer,Refunded,Davao,8.66,No,Defective,2,368,FLASH50,Paid Search,Tablet,7.4,WH-01,Team C,596.78
219,2025-08-09 23:35:39,2025-07-06 00:41:02,Jinggoy,939,Apparel,Visayas,11,358.61,0.03,0.12,E-Wallet,Completed,Quezon City,25.31,No,Changed Mind,1,322,NONE,Direct,Mobile,4.6,WH-03,Team C,4285.53
286,2025-08-13 16:35:11,2025-04-26 20:14:59,Sherwin,867,Beauty,Mindanao,7,301.33,0.09,0.12,Cash,Completed,Cebu,20.78,No,,4,102,FLASH50,Organic,Mobile,25.9,WH-01,Team A,2149.81
290,2025-08-01 14:21:37,2026-03-01 20:00:22,Francis,320,Home,Luzon,3,44.12,0.04,0.12,E-Wallet,Completed,Manila,37.64,No,Defective,2,284,NONE,Organic,Tablet,7.5,WH-01,Team C,142.31
296,2025-08-24 02:38:43,2025-12-14 18:24:59,Jinggoy,198,Electronics,Visayas,12,325.64,0.28,0.12,Cash,Completed,Quezon City,40.43,No,Wrong Item,2,369,FLASH50,Paid Search,Desktop,13.4,WH-01,Team A,3151.15
310,2025-08-26 01:00:56,2025-04-08 04:55:20,Mark,296,Electronics,Mindanao,17,135.7,0.08,0.12,Bank Transfer,Completed,Makati,5.59,No,Defective,1,430,FLASH50,Direct,Tablet,39.2,WH-03,Team A,2377.03
333,2025-08-11 19:19:25,2026-02-25 18:30:09,Robinhood,429,Electronics,Luzon,18,43.78,0.06,0.12,E-Wallet,Completed,Makati,22.52,No,Changed Mind,2,422,WELCOME10,Direct,Mobile,36.1,WH-02,Team C,829.65
338,2025-08-04 06:26:46,2025-11-16 20:42:20,Pia,766,Apparel,Mindanao,4,378.31,0.03,0.12,Bank Transfer,Pending,Manila,29.57,No,Wrong Item,5,408,NONE,Organic,Mobile,27.8,WH-03,Team A,1643.98
355,2025-08-19 02:50:35,2025-01-24 19:03:06,Bong,361,Electronics,Mindanao,3,197.15,0.08,0.12,Cash,Completed,Cebu,38.5,No,Changed Mind,3,261,FLASH50,Social Media,Tablet,24.5,WH-01,Team C,609.43
359,2025-08-07 00:56:42,2026-01-23 22:40:46,Robinhood,276,Beauty,Luzon,4,59.08,0.3,0.12,Bank Transfer,Completed,Manila,47.02,No,Wrong Item,5,293,SUMMER20,Direct,Mobile,11.4,WH-03,Team C,185.27
364,2025-08-13 14:37:46,2025-05-09 02:47:51,Pia,594,Beauty,NCR,6,135.84,0.26,0.12,E-Wallet,Completed,Cebu,39.65,No,Defective,5,249,NONE,Social Media,Mobile,22.1,WH-01,Team B,675.51
383,2025-08-09 03:39:28,2025-05-20 22:43:27,Jinggoy,108,Beauty,Luzon,16,136.62,0.1,0.12,E-Wallet,Completed,Cebu,26.24,No,Changed Mind,1,234,WELCOME10,Paid Search,Mobile,17.0,WH-02,Team A,2203.41
389,2025-08-17 01:08:18,2025-03-21 22:33:54,Grace,811,Apparel,Visayas,2,314.61,0.08,0.12,E-Wallet,Completed,Manila,21.54,No,Changed Mind,2,210,FLASH50,Social Media,Desktop,17.9,WH-03,Team A,648.35
395,2025-08-10 14:41:47,2026-02-27 05:10:52,Robinhood,717,Home,NCR,15,479.52,0.18,0.12,Bank Transfer,Pending,Manila,13.29,Yes,Defective,1,47,WELCOME10,Organic,Tablet,21.5,WH-02,Team B,6605.87
439,2025-08-16 12:15:57,2025-12-23 10:23:42,Loren,277,Home,Luzon,13,344.43,0.12,0.12,Cash,Completed,Davao,15.1,No,Wrong Item,5,207,FLASH50,Organic,Tablet,18.4,WH-02,Team C,4413.11
463,2025-08-12 02:33:12,2025-02-21 15:43:59,Jinggoy,158,Electronics,Visayas,11,178.32,0.26,0.12,E-Wallet,Pending,Cebu,48.09,No,,3,230,SUMMER20,Organic,Desktop,14.4,WH-01,Team C,1625.71
480,2025-08-13 04:02:44,2025-02-06 22:13:52,Jinggoy,772,Home,Visayas,16,208.82,0.16,0.12,Bank Transfer,Completed,Cebu,29.32,No,Defective,1,410,FLASH50,Organic,Desktop,29.2,WH-02,Team C,3143.33
511,2025-08-18 02:46:39,2025-11-17 19:28:24,Mark,539,Home,Mindanao,10,352.16,0.08,0.12,Cash,Completed,Manila,15.25,Yes,Wrong Item,1,45,SUMMER20,Paid Search,Desktop,11.0,WH-02,Team A,3628.66
515,2025-08-30 16:44:26,2025-10-06 00:12:52,Pia,801,Apparel,Luzon,4,27.26,0.1,0.12,Credit Card,Completed,Cebu,43.33,No,,4,482,NONE,Direct,Mobile,25.8,WH-03,Team B,109.91
518,2025-08-20 14:35:26,2026-02-11 06:18:53,Loren,991,Electronics,Mindanao,11,132.11,0.22,0.12,E-Wallet,Pending,Cebu,6.17,No,Defective,3,418,SUMMER20,Organic,Mobile,7.4,WH-02,Team C,1269.52
528,2025-08-23 11:43:06,2025-06-01 10:58:51,Imee,673,Home,Mindanao,2,305.04,0.2,0.12,E-Wallet,Completed,Cebu,9.26,No,,1,117,WELCOME10,Organic,Mobile,13.1,WH-01,Team C,546.63
585,2025-08-10 07:53:32,2025-07-16 17:43:11,Grace,369,Sports,Visayas,11,180.74,0.01,0.12,Bank Transfer,Completed,Quezon City,5.18,No,Changed Mind,1,306,WELCOME10,Direct,Mobile,16.7,WH-01,Team A,2204.45
