TransactionID,OrderDate,DeliveryDate,CustomerName,ProductID,Category,Region,Quantity,UnitPrice,DiscountPct,TaxRate,PaymentMethod,OrderStatus,ShippingCity,ShippingCost,IsReturned,ReturnReason,FeedbackScore,LoyaltyPoints,PromoCode,SourceChannel,DeviceType,SessionDurationMin,WarehouseID,SalesRep,TotalAmount
1,2025-09-09 00:18:21,2025-12-21 01:22:18,Pia,311,Beauty,Visayas,12,491.09,0.21,0.12,Credit Card,Pending,Davao,19.78,No,Defective,3,337,WELCOME10,Organic,Desktop,39.7,WH-03,Team B,5214.2
10,2025-09-01 03:40:41,2025-10-03 21:38:31,Mark,238,Sports,Luzon,8,395.1,0.09,0.12,Cash,Completed,Manila,48.49,No,Wrong Item,1,206,SUMMER20,Organic,Desktop,31.1,WH-03,Team B,3221.49
26,2025-09-14 08:15:44,2025-07-29 22:12:08,Imee,359,Beauty,Luzon,14,421.54,0.02,0.12,Bank Transfer,Completed,Davao,37.45,No,Wrong Item,2,253,SUMMER20,Organic,Desktop,2.1,WH-03,Team A,6477.55
73,2025-09-02 13:35:34,2025-05-04 00:06:41,Grace,998,Electronics,NCR,15,344.32,0.19,0.12,Bank Transfer,Pending,Makati,47.9,No,Changed Mind,2,25,SUMMER20,Direct,Mobile,5.6,WH-03,Team C,4685.51
76,2025-09-17 01:47:55,2025-10-18 00:45:17,Grace,845,Electronics,NCR,9,47.44,0.19,0.12,Cash,Refunded,Makati,9.33,No,Wrong Item,4,259,WELCOME10,Social Media,Mobile,4.9,WH-02,Team B,387.34
98,2025-09-24 14:02:46,2025-09-20 16:45:43,Francis,284,Beauty,Mindanao,14,273.33,0.19,0.12,Credit Card,Cancelled,Manila,7.32,Yes,Defective,5,225,WELCOME10,Social Media,Mobile,8.6,WH-03,Team C,3471.51
109,2025-09-06 03:59:59,2025-09-20 04:46:49,Francis,736,Beauty,NCR,11,305.05,0.06,0.12,Cash,Completed,Makati,11.66,No,Changed Mind,1,195,FLASH50,Organic,Desktop,21.9,WH-03,Team C,3532.72
137,2025-09-22 02:30:39,2025-04-07 07:39:54,Francis,403,Home,NCR,11,236.5,0.01,0.12,Cash,Completed,Quezon City,34.69,No,Wrong Item,1,256,NONE,Social Media,Desktop,24.0,WH-02,Team A,2884.54
195,2025-09-21 03:19:08,2025-04-22 02:25:30,Risa,446,Beauty,NCR,1,141.61,0.14,0.12,Credit Card,Completed,Davao,10.53,No,Changed Mind,2,77,NONE,Social Media,Mobile,31.5,WH-02,Team B,136.4
210,2025-09-08 22:38:57,2025-09-15 06:03:30,Grace,127,Sports,Visayas,16,212.65,0.23,0.12,E-Wallet,Refunded,Davao,35.91,No,Wrong Item,2,375,WELCOME10,Social Media,Tablet,2.1,WH-02,Team B,2934.23
217,2025-09-26 05:13:24,2026-03-02 04:08:05,Raffy,763,Sports,Mindanao,17,351.94,0.25,0.12,Credit Card,Completed,Manila,27.29,No,Defective,4,124,SUMMER20,Paid Search,Desktop,42.8,WH-01,Team A,5025.7
232,2025-09-06 12:15:54,2025-10-16 11:11:57,Sherwin,938,Sports,NCR,13,45.43,0.01,0.12,E-Wallet,Pending,Makati,18.73,No,Defective,3,477,NONE,Paid Search,Tablet,20.2,WH-03,Team C,654.85
250,2025-09-05 05:13:25,2025-05-20 17:43:09,Jinggoy,156,Beauty,NCR,17,61.75,0.24,0.12,Credit Card,Completed,Davao,28.61,Yes,,2,116,FLASH50,Organic,Desktop,18.2,WH-03,Team C,893.55
285,2025-09-10 14:40:18,2026-01-18 04:51:17,Loren,487,Beauty,Visayas,6,331.84,0.25,0.12,E-Wallet,Completed,Manila,34.72,No,Defective,1,333,FLASH50,Organic,Tablet,10.5,WH-03,Team C,1672.47
301,2025-09-22 23:51:51,2026-01-11 03:32:53,Mark,433,Sports,NCR,6,276.7,0.01,0.12,Credit Card,Completed,Quezon City,21.69,No,Wrong Item,4,40,WELCOME10,Social Media,Desktop,18.9,WH-03,Team B,1840.83
